Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
Republic Property Trust,RPB,Lehman Brothers,12,12,12,0,0,1,
Somaxon Pharmaceuticals ,SOMX,Morgan Stanley,11,11,10.71,-2.64,0,1,
Copa Holdings S.A. ,CPA,Morgan Stanley,20,22.53,24.25,21.25,2.53,3,
Endeavor Acquisition,EDA-U,Ladenburg Thalmann,8,8.01,8,0,0.01,1,
Directed Electronics ,DEIX,Goldman Sachs,16,17,14,-12.5,1,3,
Emergency Medical Services ,EMS,Banc of America,14,14,13.1,-6.43,0,1,
Spansion ,SPSN,Citigroup,12,12,13.55,12.92,0,1,
Star Maritime Acquisition ,SEA-U,Maxim Group,10,9.9,9.92,-0.8,-0.1,1,
Boulder Specialty Brands ,BDSBU,Citigroup,8,9,9,12.5,1,1,
NUCRYST Pharmaceuticals ,NCST,Jefferies,10,10,10,0,0,1,
K-Sea Transportation Partners ,KSP,Lehman Brothers,23.5,26.5,27.09,15.28,3,2,
TRW Automotive ,TRW,Goldman Sachs,28,27.35,27.1,-3.21,-0.65,3,Missed
GTx ,GTXI,Goldman Sachs,14.5,15.27,12.9,-11.03,0.77,2,
Asset Acceptance Capital ,AACC,Bear Stearns,15,16.66,16.68,11.2,1.66,3,
Assurant ,AIZ,Morgan Stanley,22,23.75,24.7,12.27,1.75,3,
Renovis ,RNVS,Goldman Sachs,12,12.5,14.5,20.83,0.5,2,
TODCO ,THE,Morgan Stanley,12,13.55,13.7,14.17,1.55,2,
Bakers Footwear Group ,BKRS,Ryan Beck,7.75,8.7,8.29,6.97,0.95,2,
Staktex Holdings ,STAK,Morgan Stanley,13,14.48,14.88,14.46,1.48,3,
Symbion ,SMBI,Credit Suisse,15,18,18.63,24.2,3,3,
AlphaSmart ,ALSM,Jefferies,6,6.99,6.19,3.17,0.99,1,
Affordable Residential Communities ,ARC,Citigroup,19,19.1,19,0,0.1,2,Missed
Bristol West Holdings ,BRW,Credit Suisse,20,22.75,22.8,14,2.75,3,
Atheros Communications ,ATHR,Morgan Stanley,14,18.75,17.6,25.71,4.75,3,
Corgentech ,CGTK,Credit Suisse,16,18,21.4,33.75,2,2,
CEA Acquisition,CEACU,EarlyBirdCapital,6,6.6,6.06,1,0.6,1,
Dynavax Technologies ,DVAX,Bear Stearns,7.5,8.3,9.4,25.33,0.8,1,
Cherokee International,CHRK,Credit Suisse,14.5,16.75,16.5,13.79,2.25,1,
Linktone,LTON,Credit Suisse,14,19.01,17.42,24.43,5.01,3,
TOM Online,TOMO,Citigroup,15.55,15.75,15.58,0.19,0.2,4,Missed
TNS ,TNS,JP Morgan,18,18.5,18,0,0.5,3,Missed
Xcyte Therapies ,XCYT,Piper Jaffray,8,8.5,7.31,-8.63,0.5,1,
Tercica ,TRCA,Lehman Brothers,9,9,9,0,0,1,
Semiconductor Mfg Int'l,SMI,Credit Suisse,17.5,17,15.52,-11.31,-0.5,2,Missed
Chardan China Acquisition,CAQCU.OB,EarlyBirdCapital,6,6.05,6.05,0.83,0.05,1,
Ultra Clean Holdings ,UCTT,Credit Suisse,7,7.01,7.5,7.14,0.01,1,
Hornbeck Offshore Services ,HOS,Goldman Sachs,13,13.25,13.25,1.92,0.25,2,Missed
Cutera ,CUTR,Piper Jaffray,14,14,14,0,0,1,
Marchex ,MCHX,Sanders Morris Harris,6.5,7.52,8.88,36.62,1.02,2,
Memory Pharmaceuticals ,MEMY,UBS Investment Bank,7,7.5,8.4,20,0.5,1,
JED Oil ,JDO,Gilford Securities,5.5,10,11.2,103.64,4.5,2,
Immunicon,IMMC,UBS Investment Bank,8,8.53,9.5,18.75,0.53,2,
Gander Mountain ,GMTN,Banc of America,16,20,22.02,37.63,4,2,
SiRF Technology Holdings ,SIRF,Morgan Stanley,12,14.45,15.3,27.5,2.45,3,
Assured Guaranty,AGO,Banc of America,18,18.22,18,0,0.22,2,Missed
Barrier Therapeutics ,BTRX,Morgan Stanley,15,15,14.6,-2.67,0,2,Missed
Intersections ,INTX,Deutsche Bank,17,21.01,24.7,45.29,4.01,3,
Cytokinetics ,CYTK,Goldman Sachs,13,15,16.1,23.85,2,2,
Origen Financial ,ORGN,Lehman Brothers,8,8,8,0,0,1,
Greenhill ,GHL,Goldman Sachs,17.5,19.06,20.5,17.14,1.56,4,
InfraSource Services ,IFS,Lehman Brothers,13,13,12.65,-2.69,0,1,
Shanda Interactive Entertainment,SNDA,Goldman Sachs,11,11.3,11.97,8.82,0.3,2,
NuVasive ,NUVA,Banc of America,11,11.05,11.4,3.64,0.05,2,
Blue Nile,NILE,Merrill,20.5,25,28.4,38.54,4.5,3,
Animas,PUMP,Piper Jaffray,15,17.25,18,20,2.25,2,
Genworth Financial ,GNW,Morgan Stanley,19.5,18.75,19.5,0,-0.75,1,
ACADIA Pharmaceuticals ,ACAD,Banc of America,7,7.44,6.7,-4.29,0.44,1,
Angio Dynamics ,ANGO,RBC Capital Markets,11,11.54,12.5,13.64,0.54,2,
Alnylam Pharmaceuticals ,ALNY,Banc of America,6,6.1,6.01,0.17,0.1,1,
Global Signal ,GSL,Morgan Stanley,18,20.1,20.15,11.94,2.1,1,Missed
PowerDsine ,PDSN,Citigroup,11.5,12.49,12.04,4.7,0.99,2,
CB Richard Ellis Group ,CBG,Credit Suisse,19,19,18.35,-3.42,0,1,
Leadis Technology ,LDIS,Goldman Sachs,14,14.27,13.1,-6.43,0.27,3,Missed
ADESA ,KAR,UBS Investment Bank,24,25.5,25.25,5.21,1.5,3,
InfoSonics ,IFO,Gilford Securities,6,6,5.85,-2.5,0,1,
Blackboard ,BBBB,Credit Suisse,14,15.8,20.01,42.93,1.8,3,
Jackson Hewitt Tax Service ,JTX,Goldman Sachs,17,17,17.25,1.47,0,1,
Senomyx ,SNMX,Citigroup,6,6.45,6.75,12.5,0.45,2,
salesforce.com ,CRM,Morgan Stanley,11,15,17.2,56.36,4,3,
Gol Intelligent Airlines ,GOL,Morgan Stanley,17,18.8,18.22,7.18,1.8,3,
Strategic Hotel Capital ,SLH,Goldman Sachs,14,14,14.35,2.5,0,1,
Xyratex ,XRTX,Credit Suisse,14,14,13.95,-0.36,0,1,
Motive ,MOTV,JP Morgan,10,10.25,10.15,1.5,0.25,1,
Multi-Fineline Electric ,MFLX,Needham,10,10.21,10.04,0.4,0.21,1,
Cabela's ,CAB,Credit Suisse,20,27.95,26,30,7.95,3,
Homex Development ,HXM,Citigroup,15.8,17,17.6,11.39,1.2,2,
Life Time Fitness ,LTM,Credit Suisse,18.5,20.75,21,13.51,2.25,3,
WellCare Group,WCG,Morgan Stanley,17,19.3,19.53,14.88,2.3,2,
Holly Energy Partners,HEP,Goldman Sachs,22.25,23.5,24.55,10.34,1.25,3,
KongZhong ,KONG,UBS Investment Bank,10,10.25,10.1,1,0.25,3,Missed
Affirmative Insurance Holdings ,AFFM,Piper Jaffray,14,14,14.02,0.14,0,1,
Domino's Pizza ,DPZ,JP Morgan,14,14,13.5,-3.57,0,1,
HomeBanc,HMB,JP Morgan,7.5,7.5,8.15,8.67,0,1,
Collegiate Funding Services ,CFSI,JP Morgan,16,16,15.64,-2.25,0,2,Missed
Freescale Semiconductor ,FSL,Goldman Sachs,13,13,14.02,7.85,0,2,
Greenfield Online ,SRVY,Lehman Brothers,13,16,18.7,43.85,3,2,
McCormick & Schmick Holdings ,MSSR,Banc of America,12,12.03,12.34,2.83,0.03,1,
Idenix Pharmaceuticals ,IDIX,Goldman Sachs,14,14.08,13.45,-3.93,0.08,2,Missed
Blackbaud ,BLKB,JP Morgan,8,8.35,8.55,6.88,0.35,2,
Dex Media ,DEX,Morgan Stanley,19,19,19.5,2.63,0,2,
Kanbay International ,KBAY,UBS Investment Bank,13,13,15.2,16.92,0,2,
NEUROMetrix ,NURO,Punk Ziegel,8,8.11,8.05,0.63,0.11,1,
Auxilium Pharmaceuticals ,AUXL,Deutsche Bank,7.5,7.6,7.2,-4,0.1,1,
Lumera ,LMRA,Paulson Investment,6.95,7.03,6.01,-13.53,0.08,1,
